,t,yposition,velocity,aceleration
0,0.0,39000.0,-877.995,0.0
1,0.5,39000.0,0.0,-9.81
2,1.0,38998.77375,-4.905,-9.81
3,1.5,38995.095,-9.81,-9.809999999999999
4,2.0,38988.96375,-14.715,-9.810000000000002
5,2.5,38980.38,-19.62,-9.810000000000002
6,3.0,38969.34375,-24.525000000000002,-9.809999999999995
7,3.5,38955.855,-29.43,-9.810000000000002
8,4.0,38939.91375,-34.335,-9.810000000000002
9,4.5,38921.52,-39.24,-9.810000000000002
10,5.0,38900.67375,-44.145,-9.810000000000002
11,5.5,38877.375,-49.050000000000004,-9.810000000000002
12,6.0,38851.62375,-53.955000000000005,-9.809999999999988
13,6.5,38823.42,-58.86,-9.810000000000002
14,7.0,38792.76375,-63.765,-9.810000000000002
15,7.5,38759.655,-68.67,-9.810000000000002
16,8.0,38724.09375,-73.575,-9.810000000000002
17,8.5,38686.08,-78.48,-9.810000000000002
18,9.0,38645.61375,-83.385,-9.810000000000002
19,9.5,38602.695,-88.29,-9.810000000000002
20,10.0,38557.32375,-93.19500000000001,-9.810000000000002
21,10.5,38509.5,-98.10000000000001,-9.810000000000002
22,11.0,38459.22375,-103.00500000000001,-9.810000000000002
23,11.5,38406.495,-107.91000000000001,-9.810000000000002
24,12.0,38351.31375,-112.81500000000001,-9.809999999999974
25,12.5,38293.68,-117.72,-9.810000000000002
26,13.0,38233.59375,-122.625,-9.810000000000002
27,13.5,38171.055,-127.53,-9.810000000000002
28,14.0,38106.06375,-132.435,-9.810000000000002
29,14.5,38038.62,-137.34,-9.810000000000002
30,15.0,37968.72375,-142.245,-9.810000000000002
31,15.5,37896.375,-147.15,-9.810000000000002
32,16.0,37821.57375,-152.055,-9.810000000000002
33,16.5,37744.32,-156.96,-9.810000000000002
34,17.0,37664.61375,-161.865,-9.810000000000002
35,17.5,37582.455,-166.77,-9.810000000000002
36,18.0,37497.84375,-171.675,-9.810000000000002
37,18.5,37410.78,-176.58,-9.810000000000002
38,19.0,37321.26375,-181.485,-9.810000000000002
39,19.5,37229.295,-186.39000000000001,-9.810000000000002
40,20.0,37134.87375,-191.29500000000002,-9.810000000000002
41,20.5,37038.0,-196.20000000000002,-9.810000000000002
42,21.0,36938.67375,-201.10500000000002,-9.810000000000002
43,21.5,36836.895,-206.01000000000002,-9.810000000000002
44,22.0,36732.66375,-210.91500000000002,-9.810000000000002
45,22.5,36625.98,-215.82000000000002,-9.810000000000002
46,23.0,36516.84375,-220.72500000000002,-9.810000000000002
47,23.5,36405.255,-225.63000000000002,-9.810000000000002
